seq,class,predicted class na�ve,predicted class knn,nondrna na_Ѣve,drna na_Ѣve,rna na_Ѣve,dna na_Ѣve,nondrna knn,drna knn,rna knn,dna knn,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,,,,
3163,nonDRNA,DNA,nonDRNA,2.86E-06,1.66E-08,0.077561506,0.92243562,1,0,0,0,45,0,13,14,32,21,57,8,42,0,22,42,13,23,0,26,22,20,29,28,0,38,7,0,7,0,7,0,7,0
3164,nonDRNA,DNA,nonDRNA,5.76E-07,1.45E-10,0.340236474,0.65976295,1,0,0,0,21,0,11,28,32,12,32,13,18,0,23,28,11,20,0,17,12,19,28,13,0,31,4,0,9,0,4,0,9,0
3165,nonDRNA,DNA,nonDRNA,5.60E-08,2.35E-10,0.043156837,0.956843107,0.877533429,0.122466571,0,0,23,0,8,26,27,17,19,9,28,0,26,30,12,14,0,5,13,17,22,20,0,19,2,0,13,0,2,0,13,0
3166,nonDRNA,DNA,nonDRNA,4.07E-06,8.47E-07,0.061058712,0.938936369,1,0,0,0,31,0,14,21,24,20,43,14,21,0,25,37,11,23,0,19,15,17,31,28,0,30,10,0,29,0,10,0,29,0
3167,nonDRNA,DRNA,nonDRNA,3.01E-17,1,3.01E-43,7.18E-54,0.875936485,0.124063515,0,0,111,0,39,59,102,52,164,40,66,0,68,164,41,65,0,126,63,86,140,74,0,90,33,0,37,0,33,0,37,0
3168,nonDRNA,DNA,nonDRNA,5.29E-07,8.88E-09,0.044368912,0.95563055,1,0,0,0,30,0,4,27,30,21,43,18,24,0,35,26,15,29,0,16,12,18,19,19,0,31,12,0,15,0,12,0,15,0
3169,nonDRNA,RNA,nonDRNA,1.44E-07,1.51E-10,0.776357534,0.223642322,0.875162498,0,0.124837502,0,21,0,0,5,13,7,7,5,9,0,14,14,2,7,0,5,5,1,9,8,0,17,3,0,2,0,3,0,2,0
3170,nonDRNA,RNA,nonDRNA,7.95E-07,2.97E-09,0.73071183,0.269287372,1,0,0,0,26,0,4,16,28,8,24,9,9,0,9,36,8,5,0,20,14,21,17,25,0,15,13,0,18,0,13,0,18,0
3171,nonDRNA,RNA,nonDRNA,6.32E-07,5.53E-09,0.666394047,0.333605316,1,0,0,0,36,0,6,16,27,8,33,7,9,0,12,34,11,10,0,20,16,26,15,24,0,21,11,0,20,0,11,0,20,0
3172,nonDRNA,RNA,nonDRNA,5.30E-08,4.64E-12,0.983816494,0.016183453,1,0,0,0,15,0,0,10,8,8,14,5,2,0,5,26,3,1,0,11,6,13,3,7,0,12,1,0,7,0,1,0,7,0
3173,nonDRNA,RNA,nonDRNA,1.11E-06,2.69E-08,0.541395579,0.458603286,1,0,0,0,59,0,1,24,28,14,47,15,13,0,9,49,13,10,0,23,10,36,18,22,0,42,3,0,8,0,3,0,8,0
3174,nonDRNA,DNA,nonDRNA,9.13E-04,0.003477108,1.40E-04,0.995469911,1,0,0,0,66,0,17,47,53,24,68,20,22,0,37,80,17,22,0,56,26,44,61,43,0,71,11,0,21,0,11,0,21,0
3175,nonDRNA,DNA,nonDRNA,3.60E-06,5.73E-09,0.018908222,0.981088174,1,0,0,0,55,0,15,26,19,22,57,18,8,0,8,68,10,8,0,50,18,23,29,29,0,25,3,0,16,0,3,0,16,0
3176,nonDRNA,RNA,nonDRNA,6.36E-08,4.44E-12,0.988849958,0.011149978,0.875945783,0,0,0.124054217,13,0,6,7,19,11,6,4,5,0,16,11,3,5,0,10,4,6,4,7,0,2,3,0,0,0,3,0,0,0
3177,nonDRNA,DNA,nonDRNA,1.25E-05,1.11E-06,0.161242925,0.838743442,1,0,0,0,71,0,2,36,29,10,47,18,11,0,7,58,7,5,0,32,5,47,26,40,0,48,5,0,9,0,5,0,9,0
3178,nonDRNA,DRNA,nonDRNA,6.63E-04,0.999291116,1.86E-08,4.56E-05,0.877479121,0,0,0.122520879,68,0,8,33,35,35,63,15,38,0,23,54,22,42,0,52,43,37,60,81,0,68,13,0,43,0,13,0,43,0
3179,nonDRNA,nonDRNA,nonDRNA,1,0,0,0,0.86182526,0,0.13817474,0,109,0,47,129,99,86,135,63,174,0,134,163,53,116,0,118,76,85,164,147,0,135,29,3,92,0,29,3,92,0
3180,nonDRNA,DRNA,nonDRNA,3.05E-30,1,4.12E-84,5.10E-126,0.876959293,0,0.123040707,0,167,0,41,119,110,82,142,48,131,0,125,177,65,110,0,118,90,97,155,155,0,144,28,0,102,0,28,0,102,0
3181,nonDRNA,nonDRNA,nonDRNA,1,0,0,0,1,0,0,0,66,0,14,49,33,34,52,17,41,0,37,67,23,48,0,62,36,36,71,73,0,62,13,1,43,0,13,1,43,0
3182,nonDRNA,DRNA,nonDRNA,8.46E-35,1,3.25E-102,4.57E-93,1,0,0,0,169,0,42,112,114,83,147,51,132,0,125,175,67,114,0,121,80,94,145,167,0,141,28,0,100,0,28,0,100,0
3183,nonDRNA,DRNA,nonDRNA,1.62E-39,1,2.61E-112,1.64E-104,1,0,0,0,164,0,42,115,115,88,144,45,132,0,128,171,69,113,0,118,77,90,150,176,0,146,29,0,102,0,29,0,102,0
3184,nonDRNA,DRNA,nonDRNA,1.45E-32,1,2.51E-99,8.19E-85,0.748250079,0,0.251749921,0,108,0,44,117,103,85,146,54,146,0,136,194,53,117,0,128,81,79,154,171,0,153,25,0,85,0,25,0,85,0
3185,nonDRNA,DRNA,nonDRNA,8.50E-40,1,3.96E-113,8.38E-104,0.88340469,0,0.11659531,0,160,0,47,110,114,88,143,48,137,0,119,168,73,112,0,117,73,97,156,173,0,148,29,0,95,0,29,0,95,0
3186,nonDRNA,DRNA,nonDRNA,6.90E-31,1,1.81E-86,2.32E-132,1,0,0,0,159,0,47,110,114,88,143,47,138,0,118,168,73,112,0,117,73,99,156,173,0,148,29,0,95,0,29,0,95,0
3187,nonDRNA,DRNA,nonDRNA,3.55E-34,1,3.46E-104,3.39E-90,0.743260169,0,0.256739831,0,145,0,49,107,114,94,155,58,118,0,115,171,63,111,0,119,94,88,160,140,0,172,31,0,91,0,31,0,91,0
3188,nonDRNA,DRNA,nonDRNA,0.02579084,0.973883802,3.12E-04,1.35E-05,0.753968461,0,0,0.246031539,61,0,18,33,34,36,66,17,41,0,30,45,30,51,0,57,42,27,66,79,0,67,15,0,36,0,15,0,36,0
3189,nonDRNA,DRNA,nonDRNA,3.68E-35,1,5.92E-105,6.26E-94,0.867124467,0,0.132875533,0,147,0,49,115,114,97,149,53,117,0,124,168,70,103,0,120,90,92,151,149,0,170,32,0,90,0,32,0,90,0
3190,nonDRNA,DRNA,nonDRNA,1.76E-29,1,1.50E-82,7.45E-122,0.877865265,0,0.122134735,0,158,0,43,119,106,96,144,55,149,0,121,175,56,110,0,120,80,92,147,158,0,144,28,0,87,0,28,0,87,0
3191,nonDRNA,DRNA,nonDRNA,9.31E-22,1,3.33E-118,1.10E-90,0.877691178,0,0.122308822,0,158,0,43,120,105,97,145,55,151,0,120,175,56,108,0,120,81,91,146,159,0,143,28,0,87,0,28,0,87,0
3192,nonDRNA,DRNA,nonDRNA,1.44E-21,1,4.99E-119,4.65E-91,1,0,0,0,152,0,44,117,103,96,149,56,154,0,118,171,58,113,0,120,80,94,146,159,0,143,28,0,87,0,28,0,87,0
3193,nonDRNA,DNA,nonDRNA,2.57E-07,5.72E-09,0.012015934,0.987983803,0.750277412,0,0,0.249722588,37,0,10,14,40,11,38,10,26,0,36,36,16,24,0,33,34,31,29,31,0,25,9,0,10,0,9,0,10,0
3194,nonDRNA,DRNA,nonDRNA,1.58E-14,1,5.61E-36,9.90E-31,0.620005048,0.119789404,0,0.260205548,95,0,20,65,106,37,107,29,100,0,120,109,32,55,0,75,91,71,67,84,0,94,37,0,36,0,37,0,36,0
3195,nonDRNA,DRNA,nonDRNA,0.150625572,0.685801408,4.05E-04,0.163168244,1,0,0,0,61,0,9,72,67,30,51,21,44,0,35,75,13,43,0,60,32,46,53,65,0,73,8,0,26,0,8,0,26,0
3196,nonDRNA,DRNA,nonDRNA,6.33E-14,1,1.51E-33,3.07E-30,0.863045585,0,0,0.136954415,97,0,25,59,113,41,111,36,97,0,119,114,34,58,0,84,91,67,61,76,0,94,35,0,36,0,35,0,36,0
3197,nonDRNA,DRNA,nonDRNA,4.30E-04,0.999570016,6.90E-08,1.69E-12,1,0,0,0,77,0,5,46,45,37,114,11,59,0,31,66,7,63,0,43,27,44,60,83,0,57,28,0,45,0,28,0,45,0
3198,nonDRNA,RNA,DNA,4.04E-08,2.07E-12,0.991153364,0.008846595,0.12416555,0,0.249829532,0.626004918,23,0,3,3,9,3,7,3,9,0,12,11,4,5,0,9,7,11,9,12,0,10,0,0,3,0,0,0,3,0
3199,nonDRNA,DNA,nonDRNA,2.31E-05,3.24E-09,0.456239665,0.543737242,1,0,0,0,21,0,4,20,17,20,33,9,23,0,29,39,10,18,0,17,18,8,35,21,0,23,8,0,17,0,8,0,17,0
3200,nonDRNA,DRNA,nonDRNA,5.68E-11,1,1.66E-72,2.98E-40,0.875501898,0.124498102,0,0,96,0,53,122,89,46,111,37,96,0,56,140,31,69,0,91,54,97,137,93,0,98,35,0,62,0,35,0,62,0
3201,nonDRNA,RNA,nonDRNA,1.19E-07,9.57E-11,0.535044125,0.464955756,0.875962268,0,0,0.124037732,13,0,1,15,11,3,16,2,8,0,9,27,5,5,0,4,6,11,12,12,0,16,5,0,6,0,5,0,6,0
3202,nonDRNA,DNA,nonDRNA,0.03775862,0.37282299,0.006172965,0.583245426,1,0,0,0,63,0,20,51,62,31,41,24,61,0,44,69,21,48,0,38,33,50,56,45,0,46,6,0,20,0,6,0,20,0
3203,nonDRNA,RNA,nonDRNA,5.03E-07,3.72E-11,0.983299081,0.016700416,0.752649934,0,0.247350066,0,13,0,17,2,3,0,15,2,0,0,1,0,1,4,0,4,0,6,6,6,0,1,0,0,0,0,0,0,0,0
3204,nonDRNA,DNA,nonDRNA,1.19E-06,1.10E-09,0.06546259,0.934536215,0.87343482,0,0,0.12656518,43,0,11,26,38,17,28,14,20,0,23,56,16,22,0,22,20,32,40,22,0,19,5,0,13,0,5,0,13,0
3205,nonDRNA,DNA,nonDRNA,3.96E-07,4.45E-09,0.454028413,0.545971187,0.874666848,0,0.125333152,0,20,0,15,24,26,26,20,2,21,0,22,22,6,17,0,15,17,18,24,16,0,27,4,0,8,0,4,0,8,0
3206,nonDRNA,DNA,nonDRNA,2.95E-06,4.64E-09,0.084932783,0.915064266,1,0,0,0,28,0,9,26,44,22,37,12,28,0,23,49,11,24,0,32,23,29,30,27,0,25,11,0,19,0,11,0,19,0
3207,nonDRNA,DNA,nonDRNA,3.53E-06,6.84E-09,0.102938203,0.897058258,1,0,0,0,31,0,8,34,39,20,33,7,32,0,46,43,13,15,0,28,21,26,29,26,0,28,9,0,24,0,9,0,24,0
3208,nonDRNA,DNA,nonDRNA,1.05E-04,1.13E-07,0.14221578,0.857679595,1,0,0,0,30,0,8,35,39,21,31,8,32,0,47,40,15,17,0,28,20,26,31,24,0,27,9,0,24,0,9,0,24,0
3209,nonDRNA,RNA,nonDRNA,3.91E-05,4.26E-09,0.832002895,0.167958031,1,0,0,0,20,0,7,11,16,16,27,6,8,0,14,46,4,9,0,16,24,16,31,18,0,23,16,0,7,0,16,0,7,0
3210,nonDRNA,RNA,nonDRNA,1.54E-07,2.68E-09,0.709178855,0.290820988,1,0,0,0,32,0,10,26,28,19,18,6,26,0,30,27,9,15,0,4,13,18,17,21,0,19,3,0,13,0,3,0,13,0
3211,nonDRNA,RNA,nonDRNA,3.70E-07,3.03E-10,0.553690491,0.446309139,1,0,0,0,22,0,10,26,27,17,21,7,26,0,26,28,10,16,0,7,12,17,25,23,0,19,2,0,13,0,2,0,13,0
3212,nonDRNA,RNA,nonDRNA,1.19E-08,8.53E-13,0.997596242,0.002403746,0.876992496,0,0.123007504,0,7,0,2,3,8,4,12,2,6,0,17,6,3,4,0,4,4,2,5,7,0,3,2,0,4,0,2,0,4,0
3213,nonDRNA,DNA,nonDRNA,4.18E-04,0.00212811,0.00820022,0.989253445,1,0,0,0,71,0,5,35,28,28,44,7,19,0,16,47,10,37,0,40,20,45,52,53,0,55,12,0,23,0,12,0,23,0
3214,nonDRNA,RNA,nonDRNA,4.44E-07,8.84E-11,0.609808846,0.39019071,1,0,0,0,29,0,4,21,28,13,30,10,27,0,19,29,16,9,0,19,11,18,24,26,0,23,4,0,15,0,4,0,15,0
3215,nonDRNA,RNA,nonDRNA,5.57E-06,1.90E-10,0.815955222,0.184039209,1,0,0,0,33,0,3,13,14,8,24,6,17,0,15,33,4,13,0,16,18,6,16,20,0,26,2,0,7,0,2,0,7,0
3216,nonDRNA,RNA,nonDRNA,2.25E-06,7.17E-11,0.957185124,0.042812623,0.500294606,0,0.125823089,0.373882305,9,0,4,10,12,4,8,4,2,0,23,5,4,5,0,12,10,12,29,14,0,11,1,0,1,0,1,0,1,0
3217,nonDRNA,DNA,nonDRNA,3.02E-07,3.59E-09,0.012546539,0.987453155,1,0,0,0,30,0,15,16,44,13,20,15,12,0,23,64,8,11,0,21,30,26,27,19,0,28,10,0,8,0,10,0,8,0
3218,nonDRNA,RNA,nonDRNA,8.21E-08,7.14E-12,0.959450857,0.04054906,1,0,0,0,18,0,1,18,9,10,15,4,15,0,17,21,1,11,0,12,14,5,16,10,0,16,1,0,13,0,1,0,13,0
3219,nonDRNA,DNA,nonDRNA,2.23E-06,3.35E-09,0.036371832,0.963625939,0.752118765,0,0,0.247881235,37,0,9,34,33,19,29,7,19,0,43,32,10,22,0,24,23,24,74,27,0,29,7,0,14,0,7,0,14,0
3220,nonDRNA,RNA,nonDRNA,3.55E-07,1.71E-10,0.613408854,0.386590791,0.875352281,0,0.124647719,0,34,0,5,17,18,13,34,9,13,0,11,27,9,10,0,30,17,21,17,30,0,30,6,0,12,0,6,0,12,0
3221,nonDRNA,RNA,nonDRNA,3.61E-07,6.89E-11,0.683891163,0.316108476,1,0,0,0,33,0,1,19,13,12,27,3,18,0,11,40,15,17,0,31,22,23,26,25,0,25,1,0,6,0,1,0,6,0
3222,nonDRNA,DNA,nonDRNA,0.003100339,7.33E-05,0.027033214,0.96979318,1,0,0,0,51,0,8,41,56,28,45,19,27,0,36,65,18,25,0,26,26,38,45,34,0,49,9,0,31,0,9,0,31,0
3223,nonDRNA,DNA,nonDRNA,0.012152321,0.007488734,4.36E-04,0.979922577,1,0,0,0,47,0,13,45,60,27,46,23,46,0,41,86,19,32,0,43,41,48,79,37,0,56,7,0,20,0,7,0,20,0
3224,nonDRNA,RNA,nonDRNA,1.82E-06,3.98E-11,0.985513701,0.014484479,0.629835879,0,0.370164121,0,7,0,2,3,6,3,13,2,4,0,16,6,3,6,0,3,4,2,4,7,0,6,2,0,5,0,2,0,5,0
3225,nonDRNA,RNA,nonDRNA,4.75E-08,3.41E-12,0.995179741,0.004820212,0.630772411,0,0.369227589,0,6,0,2,3,9,4,12,3,6,0,19,6,3,5,0,4,3,2,0,10,0,3,1,0,4,0,1,0,4,0
3226,nonDRNA,RNA,nonDRNA,1.34E-08,1.37E-12,0.99593332,0.004066667,1,0,0,0,15,0,5,6,6,4,16,1,4,0,3,12,5,9,0,7,6,6,6,5,0,11,1,0,6,0,1,0,6,0
3227,nonDRNA,DNA,nonDRNA,0.001164057,6.08E-05,0.014558333,0.984216764,0.876246483,0,0.123753517,0,63,0,2,34,73,16,39,11,28,0,64,75,17,20,0,16,55,38,42,34,0,35,2,0,19,0,2,0,19,0
3228,nonDRNA,DRNA,nonDRNA,5.65E-13,1,1.31E-31,5.24E-28,0.749697339,0,0,0.250302661,101,0,7,102,117,53,91,33,80,0,119,147,40,76,0,60,85,76,85,97,0,89,12,0,34,0,12,0,34,0
3229,nonDRNA,RNA,nonDRNA,1.33E-07,1.93E-09,0.76364333,0.236356535,1,0,0,0,22,0,4,21,33,13,32,9,29,0,22,27,13,13,0,19,8,18,26,24,0,25,4,0,14,0,4,0,14,0
3230,nonDRNA,RNA,nonDRNA,2.32E-07,3.94E-09,0.677132336,0.322867429,0.873232665,0,0.126767335,0,53,0,9,17,28,7,34,9,18,0,37,21,8,11,0,22,16,33,24,15,0,17,1,0,13,0,1,0,13,0
3231,nonDRNA,RNA,nonDRNA,5.85E-07,1.03E-10,0.720835401,0.279164013,0.875846214,0,0.124153786,0,33,0,0,11,14,9,22,2,29,0,12,28,5,19,0,23,21,12,27,25,0,26,3,0,24,0,3,0,24,0
3232,nonDRNA,RNA,nonDRNA,2.67E-06,9.74E-11,0.9468592,0.053138132,0.625434158,0,0.249489201,0.12507664,10,0,0,7,17,6,12,1,12,0,28,16,3,10,0,6,9,9,9,11,0,10,1,0,13,0,1,0,13,0
3233,nonDRNA,RNA,nonDRNA,6.63E-07,2.10E-10,0.563371943,0.436627394,0.747686786,0,0.252313214,0,25,0,6,14,37,7,42,9,39,0,29,37,9,13,0,26,12,24,14,25,0,32,3,0,8,0,3,0,8,0
3234,nonDRNA,RNA,nonDRNA,5.84E-06,1.74E-10,0.804723438,0.195270725,0.874491588,0,0,0.125508412,30,0,1,11,30,6,35,2,7,0,11,42,7,3,0,16,7,23,15,15,0,23,2,0,9,0,2,0,9,0
3235,nonDRNA,RNA,nonDRNA,3.06E-06,9.68E-11,0.959053203,0.040943734,1,0,0,0,8,0,5,8,12,9,6,4,21,0,13,15,3,20,0,7,2,3,11,7,0,10,1,0,7,0,1,0,7,0
3236,nonDRNA,DNA,nonDRNA,1.65E-06,4.05E-09,0.034780812,0.965217534,0.876153091,0,0.123846909,0,25,0,15,15,54,11,26,9,24,0,46,45,15,25,0,17,38,23,33,18,0,29,7,0,10,0,7,0,10,0
3237,nonDRNA,RNA,nonDRNA,1.42E-07,1.12E-10,0.713385889,0.286613969,0.875069814,0,0.124930186,0,15,0,1,6,13,5,8,9,4,0,5,15,5,1,0,9,6,12,1,10,0,5,2,0,5,0,2,0,5,0
3238,nonDRNA,DNA,nonDRNA,1.14E-06,3.96E-10,0.315855284,0.684143574,1,0,0,0,28,0,10,19,33,17,37,9,13,0,23,49,12,13,0,13,8,27,28,16,0,25,7,0,23,0,7,0,23,0
3239,nonDRNA,DNA,nonDRNA,2.51E-06,7.85E-07,0.098465333,0.901531369,0.870171932,0,0,0.129828068,44,0,9,22,36,24,47,7,13,0,28,53,7,13,0,44,18,36,28,35,0,39,9,0,9,0,9,0,9,0
3240,nonDRNA,RNA,nonDRNA,9.80E-08,2.42E-11,0.965331504,0.034668398,0.874790896,0,0,0.125209104,6,0,0,4,18,11,19,2,26,0,10,19,2,16,0,11,9,3,21,19,0,17,0,0,10,0,0,0,10,0
3241,nonDRNA,DRNA,nonDRNA,0.047410596,0.950293686,6.97E-05,0.002226049,0.875221255,0,0.124778745,0,47,0,12,48,87,46,42,18,55,0,79,74,32,43,0,32,27,36,34,51,0,55,11,0,33,0,11,0,33,0
3242,nonDRNA,DRNA,nonDRNA,2.40E-04,0.999760321,1.84E-09,8.04E-09,1,0,0,0,66,0,15,52,55,40,80,26,48,0,53,44,33,37,0,48,21,40,58,45,0,37,31,0,46,0,31,0,46,0
3243,nonDRNA,RNA,nonDRNA,8.61E-06,6.26E-10,0.667204527,0.332786864,1,0,0,0,16,0,2,26,21,18,19,12,22,0,16,26,12,12,0,16,16,16,20,18,0,21,2,0,8,0,2,0,8,0
3244,nonDRNA,DNA,nonDRNA,1.69E-06,4.58E-07,0.121390739,0.878607114,0.875970049,0,0.124029951,0,28,0,11,29,28,29,30,9,29,0,35,42,14,30,0,24,13,24,41,20,0,30,7,0,12,0,7,0,12,0
3245,nonDRNA,RNA,nonDRNA,2.77E-06,5.20E-11,0.941386224,0.058611009,1,0,0,0,13,0,6,6,22,7,16,5,7,0,7,18,3,1,0,11,7,11,5,11,0,16,2,0,7,0,2,0,7,0
3246,nonDRNA,RNA,nonDRNA,1.44E-07,4.27E-11,0.882598397,0.117401458,1,0,0,0,30,0,1,16,27,10,32,3,10,0,29,37,6,6,0,16,9,16,4,16,0,29,3,0,4,0,3,0,4,0
3247,nonDRNA,RNA,nonDRNA,8.51E-08,2.18E-11,0.95389735,0.046102565,0.876096976,0,0,0.123903024,6,0,1,12,24,17,13,1,12,0,21,20,5,6,0,7,5,15,14,9,0,23,2,0,14,0,2,0,14,0
3248,nonDRNA,RNA,nonDRNA,5.53E-08,3.02E-12,0.986457987,0.013541957,0.748423149,0,0.125363079,0.126213773,15,0,0,8,7,4,11,4,7,0,11,9,1,8,0,8,6,3,13,14,0,12,4,0,8,0,4,0,8,0
3249,nonDRNA,RNA,nonDRNA,1.29E-07,1.58E-10,0.754167379,0.245832491,1,0,0,0,12,0,1,11,6,10,8,2,3,0,11,12,7,6,0,2,7,7,12,7,0,8,1,0,5,0,1,0,5,0
3250,nonDRNA,RNA,nonDRNA,4.78E-08,3.29E-12,0.989102305,0.010897647,1,0,0,0,12,0,1,11,6,10,9,2,2,0,12,13,7,6,0,2,7,6,12,7,0,8,1,0,4,0,1,0,4,0
3251,nonDRNA,RNA,nonDRNA,1.26E-06,1.99E-09,0.753817046,0.246181687,0.875392949,0,0,0.124607051,15,0,6,17,21,19,13,3,32,0,33,24,11,40,0,9,9,6,14,13,0,12,0,0,26,0,0,0,26,0
3252,nonDRNA,nonDRNA,nonDRNA,0.529727354,0.266174961,0.007742641,0.196355044,0.749485768,0,0,0.250514232,70,0,12,49,25,44,78,10,43,0,22,45,17,63,0,45,43,26,38,62,0,55,16,0,22,0,16,0,22,0
3253,nonDRNA,RNA,nonDRNA,6.11E-08,4.16E-12,0.991203688,0.008796251,1,0,0,0,5,0,1,11,6,9,6,7,9,0,11,8,2,6,0,4,4,3,4,5,0,4,4,0,5,0,4,0,5,0
3254,nonDRNA,DRNA,nonDRNA,0.016717608,0.79123648,0.004252565,0.187793346,1,0,0,0,52,0,12,32,75,21,50,29,30,0,39,113,14,15,0,42,70,57,61,30,0,48,11,0,21,0,11,0,21,0
3255,nonDRNA,DNA,nonDRNA,1.13E-07,3.26E-10,0.13298483,0.867015057,1,0,0,0,36,0,2,23,22,9,26,3,33,0,25,27,9,17,0,11,4,18,18,11,0,27,0,0,16,0,0,0,16,0
3256,nonDRNA,RNA,nonDRNA,6.19E-06,2.15E-10,0.823326295,0.176667513,1,0,0,0,13,0,1,19,25,4,24,4,10,0,15,24,8,6,0,14,10,23,18,10,0,11,7,0,16,1,7,0,16,1
3257,nonDRNA,RNA,nonDRNA,1.56E-05,1.02E-09,0.64569184,0.354292532,1,0,0,0,28,0,6,20,23,9,33,6,13,0,17,23,4,14,0,17,17,21,28,18,0,32,10,0,14,0,10,0,14,0
3258,nonDRNA,DNA,nonDRNA,8.53E-08,1.26E-10,0.106338657,0.893661257,1,0,0,0,33,0,2,27,24,18,31,7,10,0,4,30,8,2,0,19,5,24,19,20,0,26,2,0,5,0,2,0,5,0
3259,nonDRNA,RNA,nonDRNA,2.55E-06,4.83E-11,0.939099798,0.060897648,1,0,0,0,11,0,2,9,13,8,14,0,12,0,11,18,7,5,0,4,7,10,12,15,0,13,4,0,6,0,4,0,6,0
3260,nonDRNA,RNA,nonDRNA,5.96E-08,3.24E-12,0.974854658,0.025145283,1,0,0,0,10,0,2,9,13,8,14,0,12,0,11,18,7,5,0,3,7,10,14,15,0,13,4,0,6,0,4,0,6,0
3261,nonDRNA,DNA,nonDRNA,2.68E-07,1.42E-09,0.112968603,0.887031127,0.750602763,0,0,0.249397237,40,0,5,24,28,11,41,8,10,0,9,33,13,6,0,36,8,46,32,8,0,10,0,0,2,0,0,0,2,0
3262,nonDRNA,DRNA,nonDRNA,3.95E-105,1,1.29E-231,5.46E-232,0.875940616,0.124059384,0,0,499,0,24,172,180,85,219,59,55,0,50,329,36,46,0,356,135,263,192,175,0,208,32,0,49,0,32,0,49,0
3263,nonDRNA,DNA,nonDRNA,1.12E-07,2.58E-10,0.162348759,0.837651129,1,0,0,0,22,0,1,27,23,12,24,5,22,0,17,19,8,9,0,10,1,20,30,8,0,27,0,0,18,0,0,0,18,0
3264,nonDRNA,RNA,nonDRNA,3.48E-06,1.27E-08,0.87231753,0.127678978,1,0,0,0,88,0,2,22,18,5,45,5,10,0,5,39,3,1,0,19,21,29,12,25,0,47,6,0,3,0,6,0,3,0
3265,nonDRNA,DNA,nonDRNA,1.34E-07,2.39E-10,0.277010021,0.722989845,1,0,0,0,29,0,2,8,9,14,21,3,19,0,15,22,8,10,0,7,6,4,35,31,0,10,1,0,8,0,1,0,8,0
3266,nonDRNA,RNA,nonDRNA,6.42E-08,4.67E-12,0.979437248,0.020562687,0.876312589,0,0,0.123687411,9,0,3,17,17,14,7,3,11,0,8,26,2,5,0,7,8,13,23,9,0,7,0,0,2,0,0,0,2,0
3267,nonDRNA,DRNA,nonDRNA,0.022604554,0.974168935,3.22E-04,0.0029047,1,0,0,0,74,0,8,72,49,30,63,11,38,0,39,100,11,45,0,60,46,49,90,45,0,71,4,0,24,0,4,0,24,0
3268,nonDRNA,DNA,nonDRNA,7.78E-08,1.19E-10,0.174861219,0.825138703,1,0,0,0,17,0,5,17,25,12,28,3,18,0,23,23,9,7,0,11,4,13,11,17,0,30,4,0,5,0,4,0,5,0
3269,nonDRNA,RNA,nonDRNA,5.19E-08,6.29E-12,0.980413521,0.019586427,1,0,0,0,19,0,0,9,7,7,7,5,7,0,10,17,7,6,0,3,11,8,12,8,0,11,2,0,3,0,2,0,3,0
3270,nonDRNA,RNA,nonDRNA,1.89E-07,9.19E-11,0.731399751,0.26860006,0.748494416,0,0.12717107,0.124334513,32,0,3,16,21,13,29,4,19,0,23,35,5,14,0,12,19,17,34,22,0,19,3,0,9,0,3,0,9,0
3271,nonDRNA,RNA,nonDRNA,9.93E-08,3.66E-10,0.811830186,0.188169715,0.876201387,0,0.123798613,0,21,0,9,16,18,10,22,15,16,0,10,42,9,9,0,14,21,20,15,10,0,15,5,0,8,0,5,0,8,0
3272,nonDRNA,RNA,nonDRNA,3.04E-06,6.72E-11,0.938740305,0.061256656,0.747031371,0,0.128556607,0.124412022,23,0,0,5,27,4,18,4,6,0,10,32,4,3,0,9,1,24,8,6,0,15,3,0,1,0,3,0,1,0
3273,nonDRNA,RNA,nonDRNA,4.98E-08,5.56E-12,0.986708894,0.013291056,1,0,0,0,11,0,1,8,8,8,13,7,4,0,12,17,3,5,0,4,4,3,11,10,0,13,3,0,2,0,3,0,2,0
3274,nonDRNA,DNA,nonDRNA,4.08E-05,1.49E-08,0.358048069,0.641911158,1,0,0,0,32,0,6,29,27,21,44,9,28,0,37,25,11,25,0,23,20,10,31,23,0,42,0,0,10,0,0,0,10,0
3275,nonDRNA,DNA,nonDRNA,7.21E-08,5.08E-10,0.018303128,0.9816968,0.751212724,0,0.124432357,0.124354919,34,0,6,18,22,11,30,14,15,0,24,70,8,14,0,24,28,26,35,13,0,24,3,0,13,0,3,0,13,0
3276,nonDRNA,DNA,nonDRNA,4.13E-05,0.001058135,2.86E-19,0.998900598,1,0,0,0,36,0,59,44,53,27,67,23,44,0,45,75,12,40,0,37,29,25,63,40,0,48,5,0,16,0,5,0,16,0
3277,nonDRNA,DRNA,nonDRNA,0.010592939,0.940186379,1.57E-04,0.049063883,0.87573461,0,0.12426539,0,32,0,4,46,68,36,68,15,40,0,43,47,14,36,0,25,6,31,37,22,0,55,20,0,35,0,20,0,35,0
3278,nonDRNA,RNA,nonDRNA,1.74E-08,9.09E-12,0.98225019,0.017749793,1,0,0,0,14,0,1,9,29,10,10,5,17,0,17,20,5,7,0,7,7,7,14,13,0,9,1,0,13,0,1,0,13,0
