seq,class,predicted class na夫e,predicted class knn,nondrna na夫e,rna na夫e,drna na夫e,dna na夫e,nondrna knn,rna knn,drna knn,dna knn,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25
3340,nonDRNA,DNA,nonDRNA,3.00E-05,0.004233654,2.52E-05,0.99571122,1,0,0,0,51,0,15,36,54,14,62,16,27,0,49,44,17,28,0,56,37,48,41,36,0,28,11,0,14,0
3341,nonDRNA,DNA,nonDRNA,3.53E-07,0.226622099,4.63E-10,0.773377548,1,0,0,0,52,0,2,15,22,4,27,14,5,0,1,31,4,1,0,27,1,31,7,22,0,23,8,0,4,0
3342,nonDRNA,RNA,nonDRNA,1.54E-07,0.780138301,1.54E-10,0.219861545,1,0,0,0,7,0,1,10,5,4,6,5,14,0,8,9,6,7,0,5,5,4,6,9,0,11,3,0,5,0
3343,nonDRNA,RNA,nonDRNA,0.016524546,0.592270891,0.022193509,0.369011054,0.804309692,0,0,0.195690308,69,0,4,32,48,34,63,13,55,0,47,83,19,21,0,23,28,20,46,44,0,81,6,0,11,0
3344,nonDRNA,DNA,nonDRNA,2.51E-06,0.070537488,3.27E-08,0.929459971,1,0,0,0,82,0,4,28,24,21,43,13,22,0,10,38,9,16,0,27,12,37,26,21,0,40,7,0,7,0
3345,nonDRNA,RNA,nonDRNA,1.35E-07,0.517838825,1.80E-10,0.48216104,0.787147677,0,0,0.212852323,14,0,0,13,18,15,14,3,6,0,15,18,3,12,0,11,4,7,10,6,0,16,5,0,7,0
3346,nonDRNA,DNA,nonDRNA,8.45E-08,0.297011928,7.32E-11,0.702987987,1,0,0,0,24,0,2,10,14,8,18,6,13,0,5,22,7,3,0,14,12,10,13,12,0,14,5,0,6,0
3347,nonDRNA,DNA,nonDRNA,9.17E-08,0.063586593,2.98E-10,0.936413315,1,0,0,0,35,0,2,27,27,22,25,10,21,0,12,32,11,13,0,12,10,18,19,32,0,18,2,0,11,0
3348,nonDRNA,RNA,nonDRNA,1.48E-07,0.908765379,1.06E-10,0.091234473,1,0,0,0,11,0,0,7,8,2,5,2,5,0,4,10,2,3,0,7,4,6,4,9,0,10,2,0,2,0
3349,nonDRNA,DNA,nonDRNA,9.71E-08,0.499744997,1.14E-10,0.500254906,1,0,0,0,9,0,5,14,15,6,11,3,15,0,16,12,5,4,0,5,10,12,9,13,0,16,0,0,9,0
3350,nonDRNA,DNA,nonDRNA,2.07E-07,0.271834804,3.10E-10,0.728164989,1,0,0,0,47,0,4,7,8,8,37,3,11,0,9,22,2,13,0,8,6,11,36,32,0,21,2,0,10,0
3351,nonDRNA,DNA,nonDRNA,9.42E-08,0.131753726,2.30E-10,0.868246179,1,0,0,0,23,0,4,15,23,13,18,4,15,0,16,27,8,18,0,11,17,10,16,8,0,15,7,0,19,0
3352,nonDRNA,DNA,nonDRNA,6.40E-08,0.129830003,1.09E-10,0.870169933,1,0,0,0,13,0,4,14,13,13,21,14,9,0,13,21,6,9,0,19,10,13,26,14,0,17,6,0,9,0
3353,nonDRNA,DNA,nonDRNA,6.80E-08,0.066282334,1.41E-10,0.933717597,1,0,0,0,35,0,2,15,22,14,32,13,11,0,14,40,4,7,0,26,7,26,12,19,0,28,4,0,14,0
3354.00,nonDRNA,DRNA,nonDRNA,0.08,0.04,0.88,0.00,0.604381286,0.19769925,0,0.197919465,112.00,0.00,2.00,39.00,37.00,23.00,86.00,10.00,21.00,0.00,36.00,67.00,15.00,37.00,0.00,51.00,33.00,41.00,46.00,72.00,0.00,70.00,11.00,0.00,19.00,0.00
3355,nonDRNA,DNA,nonDRNA,5.65E-06,0.092281159,1.21E-07,0.907713071,1,0,0,0,71,0,4,38,30,17,31,11,21,0,5,44,9,22,0,27,12,48,23,29,0,33,13,0,9,0
3356,nonDRNA,DNA,nonDRNA,8.31E-08,0.092460693,1.24E-10,0.907539224,0.801987996,0.198012004,0,0,44,0,3,21,21,12,32,9,13,0,7,35,8,6,0,10,9,16,18,21,0,28,5,0,6,0
3357,nonDRNA,DNA,nonDRNA,1.08E-07,0.046328882,5.16E-10,0.95367101,1,0,0,0,45,0,3,29,28,16,24,9,24,0,22,28,8,19,0,12,14,16,21,19,0,27,2,0,22,0
3358,nonDRNA,DNA,nonDRNA,7.91E-07,0.05360307,1.53E-08,0.946396124,1,0,0,0,30,0,7,29,43,27,25,7,30,0,38,47,7,21,0,15,14,24,31,26,0,24,14,0,11,0
3359,nonDRNA,DNA,nonDRNA,1.24E-07,0.315029088,1.11E-10,0.684970788,1,0,0,0,40,0,1,16,20,5,19,2,17,0,3,31,8,6,0,14,3,20,15,12,0,20,2,0,2,0
3360,nonDRNA,RNA,nonDRNA,1.53E-07,0.976071075,1.25E-10,0.023928772,0.805273224,0,0,0.194726776,11,0,2,2,7,0,2,1,4,0,3,4,1,1,0,1,5,1,3,9,0,7,0,0,0,0
3361,nonDRNA,DNA,nonDRNA,6.58E-07,0.010219715,1.53E-08,0.989779612,1,0,0,0,20,0,12,25,40,19,42,14,30,0,35,44,11,38,0,19,14,20,30,38,0,29,10,0,19,0
3362,nonDRNA,RNA,nonDRNA,1.53E-07,0.806735622,2.07E-10,0.193264224,1,0,0,0,12,0,2,7,13,5,5,2,14,0,18,12,7,10,0,6,5,1,2,4,0,8,1,0,6,0
3363,nonDRNA,DNA,nonDRNA,3.87E-05,0.077219027,5.78E-06,0.922736522,0.561718078,0.438281922,0,0,28,0,6,35,23,23,39,13,33,0,45,46,10,36,0,36,19,26,52,30,0,40,19,0,25,0
3364,nonDRNA,DNA,nonDRNA,9.92E-08,0.06513751,3.20E-10,0.93486239,1,0,0,0,49,0,0,18,23,12,32,5,24,0,27,29,10,12,0,23,10,16,23,25,0,33,2,0,12,0
3365,nonDRNA,DNA,nonDRNA,3.20E-07,0.161468198,2.40E-09,0.838531479,1,0,0,0,29,0,0,13,16,8,8,9,11,0,42,17,5,28,0,17,29,4,28,44,0,30,1,0,11,0
3366,nonDRNA,DNA,nonDRNA,6.94E-08,0.111864057,1.95E-10,0.888135874,1,0,0,0,20,0,2,23,19,15,25,6,17,0,32,27,8,13,0,9,10,5,16,19,0,19,3,0,15,0
3367,nonDRNA,DNA,nonDRNA,1.46E-07,0.051733612,7.39E-10,0.948266241,1,0,0,0,47,0,3,26,28,15,44,7,30,0,23,23,13,17,0,18,9,15,22,29,0,29,2,0,13,0
3368,nonDRNA,DNA,nonDRNA,2.26E-07,0.048603984,1.82E-09,0.951395789,0.797336706,0,0,0.202663294,35,0,6,30,28,19,42,9,21,0,28,33,19,18,0,22,18,17,15,22,0,29,8,0,9,0
3369,nonDRNA,DNA,nonDRNA,9.13E-08,0.163453335,2.27E-10,0.836546573,1,0,0,0,20,0,5,18,23,15,25,9,25,0,25,24,3,15,0,14,9,3,11,22,0,25,1,0,8,0
3370,nonDRNA,DNA,nonDRNA,1.17E-07,0.125797814,3.54E-10,0.874202068,1,0,0,0,34,0,4,20,22,26,30,4,10,0,14,24,6,14,0,10,15,24,13,15,0,28,1,0,16,0
3371,nonDRNA,RNA,nonDRNA,1.20E-07,0.604974272,1.20E-10,0.395025608,0.800879901,0.199120099,0,0,17,0,2,8,9,12,11,5,5,0,5,16,7,5,0,11,7,6,15,14,0,13,1,0,1,0
3372,nonDRNA,DNA,nonDRNA,1.54E-07,0.426984929,2.57E-10,0.573014917,1,0,0,0,14,0,0,11,12,8,18,8,16,0,18,21,3,15,0,8,11,4,6,9,0,9,5,0,15,0
3373,nonDRNA,DNA,nonDRNA,1.39E-07,0.07703535,4.85E-10,0.922964511,1,0,0,0,27,0,3,28,17,18,16,11,9,0,5,37,15,10,0,25,16,31,15,15,0,20,9,0,11,0
3374,nonDRNA,DNA,RNA,1.87E-07,0.090598009,5.33E-10,0.909401804,0,1,0,0,56,0,1,10,39,11,33,7,12,0,19,40,6,2,0,12,11,31,15,15,0,32,5,0,15,0
3375,nonDRNA,DNA,nonDRNA,1.65E-06,0.076307842,1.70E-08,0.923690488,1,0,0,0,83,0,7,18,28,16,39,8,20,0,17,41,15,19,0,18,22,21,16,24,0,35,7,0,8,0
3376,nonDRNA,DNA,nonDRNA,6.93E-08,0.284559617,7.25E-11,0.715440314,0.600853585,0,0,0.399146415,21,0,3,16,7,8,22,4,14,0,11,23,5,6,0,7,12,13,15,15,0,17,2,0,9,0
3377,nonDRNA,DNA,nonDRNA,3.82E-07,0.032588189,3.42E-09,0.967411426,1,0,0,0,53,0,6,32,31,15,33,10,32,0,20,43,14,16,0,30,8,31,21,33,0,42,4,0,11,0
3378,nonDRNA,RNA,nonDRNA,1.32E-07,0.911135221,1.11E-10,0.088864647,0.800803445,0.199196555,0,0,4,0,0,2,9,4,10,3,10,0,10,8,1,1,0,4,3,18,6,9,0,12,0,0,2,0
3379,nonDRNA,RNA,nonDRNA,1.33E-07,0.745059037,1.14E-10,0.25494083,0.792116182,0,0,0.207883818,13,0,0,10,12,2,13,4,10,0,6,11,5,7,0,9,7,9,12,6,0,9,2,0,4,0
3380,nonDRNA,RNA,nonDRNA,2.08E-07,0.650940081,2.55E-10,0.349059711,1,0,0,0,11,0,1,2,2,18,24,0,24,0,9,27,5,7,0,10,5,5,9,11,0,12,3,0,4,0
3381.00,nonDRNA,DRNA,nonDRNA,0.05,0.02,0.91,0.01,1,0,0,0,69.00,0.00,6.00,59.00,59.00,40.00,61.00,28.00,43.00,0.00,41.00,61.00,20.00,46.00,0.00,43.00,28.00,33.00,40.00,50.00,0.00,50.00,17.00,0.00,31.00,0.00
3382,nonDRNA,DNA,nonDRNA,7.76E-08,0.019970549,6.20E-10,0.980029373,1,0,0,0,26,0,8,34,25,21,10,9,22,0,36,39,9,21,0,22,16,25,29,16,0,19,7,0,15,0
3383,nonDRNA,RNA,nonDRNA,1.29E-07,0.717877508,1.26E-10,0.282122363,1,0,0,0,10,0,0,9,15,4,17,3,15,0,10,12,2,8,0,6,6,6,13,11,0,15,1,0,6,0
3384,nonDRNA,DNA,nonDRNA,1.30E-06,0.022436016,3.47E-08,0.977562646,1,0,0,0,72,0,4,24,34,15,42,9,34,0,26,54,15,25,0,25,26,28,31,25,0,32,8,0,18,0
3385,nonDRNA,DNA,nonDRNA,8.96E-08,0.025717011,7.54E-10,0.974282899,1,0,0,0,18,0,2,29,34,18,38,11,34,0,28,39,7,20,0,10,24,19,24,24,0,21,5,0,15,0
3386,nonDRNA,DNA,nonDRNA,9.88E-08,0.29293224,1.90E-10,0.707067661,1,0,0,0,18,0,0,14,22,17,18,11,14,0,13,18,6,10,0,8,12,8,8,14,0,16,0,0,7,0
3387,nonDRNA,DNA,nonDRNA,9.52E-08,0.438941216,1.19E-10,0.561058688,1,0,0,0,26,0,4,9,15,8,14,4,6,0,17,15,9,4,0,9,12,7,14,9,0,8,1,0,8,0
3388,nonDRNA,DNA,nonDRNA,7.48E-08,0.249493288,8.17E-11,0.750506637,1,0,0,0,23,0,5,12,14,7,15,8,18,0,8,31,3,9,0,11,13,16,15,13,0,9,4,0,6,0
3389,nonDRNA,DNA,nonDRNA,3.14E-07,0.067984802,1.30E-09,0.932014883,1,0,0,0,45,0,2,24,29,8,39,10,14,0,5,43,9,6,0,31,11,45,11,28,0,32,8,0,7,0
3390,nonDRNA,DNA,nonDRNA,9.96E-08,0.185788,1.47E-10,0.8142119,1,0,0,0,36,0,2,15,21,1,22,5,28,0,18,29,7,16,0,14,11,9,11,21,0,20,4,0,7,0
3391,nonDRNA,DNA,nonDRNA,6.87E-08,0.078567317,1.46E-10,0.921432615,1,0,0,0,17,0,7,20,28,12,28,9,23,0,23,24,4,8,0,15,6,11,20,23,0,17,6,0,15,0
3392,nonDRNA,DNA,nonDRNA,1.68E-07,0.065897121,8.22E-10,0.934102711,1,0,0,0,40,0,1,21,19,23,37,4,17,0,26,38,12,17,0,14,17,15,25,29,0,29,8,0,8,0
3393,nonDRNA,DNA,nonDRNA,6.99E-08,0.075864962,1.51E-10,0.924134968,1,0,0,0,42,0,7,24,20,13,31,4,21,0,11,26,10,12,0,9,12,21,16,17,0,21,1,0,12,0
3394,nonDRNA,DNA,nonDRNA,6.50E-05,0.095477035,1.23E-05,0.904445678,1,0,0,0,29,0,7,36,53,33,48,13,29,0,35,66,15,24,0,30,22,28,26,29,0,24,14,0,34,0
3395,nonDRNA,DNA,nonDRNA,6.60E-08,0.043577034,1.86E-10,0.9564229,1,0,0,0,43,0,5,21,21,12,35,11,14,0,13,50,6,15,0,17,14,23,22,21,0,31,2,0,10,0
3396,nonDRNA,DNA,nonDRNA,5.39E-08,0.072962544,1.02E-10,0.927037402,1,0,0,0,29,0,2,22,20,13,26,6,13,0,12,30,8,7,0,11,17,27,16,18,0,28,6,0,12,0
3397,nonDRNA,DNA,nonDRNA,4.88E-08,0.086650761,7.53E-11,0.91334919,1,0,0,0,26,0,4,13,13,13,17,10,14,0,7,35,11,7,0,16,14,20,25,20,0,14,5,0,7,0
3398,nonDRNA,DNA,nonDRNA,5.73E-05,0.365333115,1.17E-06,0.634608456,1,0,0,0,95,0,6,34,24,10,52,12,6,0,5,51,4,7,0,31,4,45,21,38,0,49,1,0,9,0
3399,nonDRNA,DNA,nonDRNA,4.81E-08,0.061801061,1.16E-10,0.938198891,1,0,0,0,20,0,8,21,21,14,17,12,19,0,21,27,8,15,0,20,7,14,13,17,0,24,2,0,12,0
3400,nonDRNA,RNA,nonDRNA,1.39E-07,0.937339626,1.20E-10,0.062660234,1,0,0,0,10,0,5,2,9,4,3,2,6,0,10,12,1,3,0,5,2,6,7,3,0,7,1,0,1,0
3401,nonDRNA,DNA,nonDRNA,2.94E-07,0.057972237,1.16E-09,0.942027468,0.798543774,0,0,0.201456226,54,0,2,37,24,8,32,16,10,0,5,39,12,12,0,17,8,32,25,22,0,32,6,0,7,0
3402,nonDRNA,DNA,nonDRNA,2.90E-06,0.008555689,3.65E-07,0.991441044,1,0,0,0,23,0,10,33,51,19,42,20,27,0,45,44,14,27,0,25,32,37,35,38,0,45,7,0,23,0
3403,nonDRNA,RNA,nonDRNA,1.63E-07,0.82166919,1.65E-10,0.178330647,1,0,0,0,11,0,7,8,12,5,3,3,2,0,8,8,6,6,0,6,3,5,6,9,0,6,1,0,3,0
3404,nonDRNA,DNA,nonDRNA,3.88E-05,0.058230656,4.04E-06,0.941726479,1,0,0,0,58,0,4,55,26,16,40,21,30,0,20,64,12,16,0,28,19,52,37,45,0,51,5,0,15,0
3405,nonDRNA,DNA,nonDRNA,4.43E-08,0.060448188,1.14E-10,0.939551767,1,0,0,0,20,0,4,18,25,11,25,5,16,0,23,40,10,16,0,10,16,14,24,16,0,26,5,0,12,0
3406,nonDRNA,DNA,nonDRNA,1.06E-07,0.417547009,1.26E-10,0.582452885,1,0,0,0,20,0,0,15,15,5,12,1,16,0,12,15,11,8,0,10,11,9,13,11,0,18,2,0,7,0
3407,nonDRNA,RNA,nonDRNA,1.09E-07,0.612558082,1.09E-10,0.387441808,1,0,0,0,17,0,1,13,7,7,10,2,10,0,8,18,5,8,0,9,11,12,9,13,0,9,1,0,3,0
3408,nonDRNA,DNA,nonDRNA,2.46E-07,0.047006958,1.10E-09,0.952992795,1,0,0,0,58,0,2,25,32,11,31,13,14,0,8,39,6,9,0,33,18,31,12,22,0,34,8,0,9,0
3409,nonDRNA,RNA,nonDRNA,1.45E-07,0.605884285,2.01E-10,0.394115569,1,0,0,0,3,0,3,11,14,10,10,4,10,0,11,12,8,11,0,11,2,7,8,11,0,6,1,0,12,0
3410,nonDRNA,DNA,nonDRNA,8.26E-08,0.111722116,2.52E-10,0.888277801,1,0,0,0,12,0,3,15,26,15,17,5,23,0,26,29,8,15,0,18,7,16,19,18,0,14,2,0,22,0
3411,nonDRNA,DNA,nonDRNA,6.87E-08,0.147415878,1.48E-10,0.852584053,0.799040115,0,0,0.200959885,21,0,6,20,24,15,26,7,17,0,22,27,7,14,0,11,8,10,13,17,0,26,0,0,5,0
3412,nonDRNA,DNA,nonDRNA,1.17E-07,0.4274952,1.07E-10,0.572504683,1,0,0,0,27,0,1,15,11,5,16,13,12,0,4,16,3,2,0,9,6,18,10,20,0,17,0,0,5,0
3413,nonDRNA,DNA,nonDRNA,6.73E-06,0.132005397,1.78E-07,0.867987691,0.798457184,0.201542816,0,0,62,0,1,15,56,27,47,5,22,0,26,39,6,14,0,29,10,37,16,22,0,54,8,0,20,0
3414,nonDRNA,DNA,nonDRNA,1.67E-07,0.113436604,3.00E-10,0.886563229,1,0,0,0,51,0,2,25,27,12,27,8,12,0,5,44,4,6,0,18,9,28,15,21,0,27,6,0,2,0
3415,nonDRNA,DNA,nonDRNA,0.001105384,0.026782669,0.001817982,0.970293965,1,0,0,0,47,0,13,68,75,21,18,21,34,0,68,30,19,23,0,30,20,36,48,36,0,44,7,0,28,0
3416,nonDRNA,DNA,nonDRNA,9.84E-08,0.319573905,6.86E-11,0.680425997,0.797527891,0.202472109,0,0,24,0,4,14,12,7,19,5,11,0,6,25,4,2,0,19,1,18,11,17,0,18,6,0,4,0
3417,nonDRNA,DNA,nonDRNA,7.94E-08,0.229015383,1.29E-10,0.770984538,1,0,0,0,10,0,4,11,27,12,18,9,19,0,14,26,5,10,0,16,6,7,14,13,0,17,1,0,11,0
3418,nonDRNA,DNA,nonDRNA,3.68E-07,0.015022678,8.92E-09,0.984976945,1,0,0,0,23,0,8,27,29,27,31,7,40,0,42,46,5,37,0,19,36,9,37,22,0,23,4,0,14,0
3419,nonDRNA,RNA,nonDRNA,1.48E-07,0.90593805,1.11E-10,0.094061802,1,0,0,0,7,0,4,6,11,1,9,2,7,0,5,11,3,3,0,3,2,4,4,7,0,10,1,0,4,0
3420.00,nonDRNA,DRNA,nonDRNA,0.05,0.05,0.90,0.00,1,0,0,0,93.00,0.00,7.00,31.00,45.00,50.00,48.00,10.00,28.00,0.00,16.00,102.00,25.00,16.00,0.00,56.00,27.00,69.00,37.00,35.00,0.00,63.00,14.00,0.00,16.00,0.00
3421,nonDRNA,DNA,nonDRNA,9.40E-07,0.039850443,1.53E-08,0.960148602,0.796004146,0.203995854,0,0,57,0,2,28,32,17,38,10,25,0,15,58,9,13,0,27,30,35,14,28,0,19,12,0,16,0
3422,nonDRNA,DNA,nonDRNA,7.77E-08,0.177567716,1.14E-10,0.822432206,1,0,0,0,14,0,6,14,23,6,25,11,26,0,18,17,7,8,0,13,7,12,7,20,0,17,3,0,7,0
3423,nonDRNA,DNA,nonDRNA,2.38E-07,0.04993159,7.82E-10,0.950068171,1,0,0,0,52,0,5,27,23,14,37,12,11,0,4,48,8,2,0,22,7,40,19,27,0,28,7,0,9,0
3424,nonDRNA,DNA,nonDRNA,1.21E-07,0.285586825,2.21E-10,0.714413054,0.795117325,0.204882675,0,0,6,0,1,11,5,13,12,7,11,0,9,14,4,15,0,19,8,31,14,18,0,15,5,0,15,0
3425,nonDRNA,RNA,nonDRNA,1.17E-07,0.563230867,1.14E-10,0.436769015,1,0,0,0,27,0,1,13,4,6,12,9,8,0,8,27,2,5,0,10,6,10,20,9,0,15,0,0,5,0
3426,nonDRNA,RNA,nonDRNA,1.35E-07,0.849128478,1.53E-10,0.150871387,0.79992617,0,0,0.20007383,15,0,3,8,9,6,7,1,10,0,12,16,3,12,0,4,1,3,9,3,0,15,0,0,4,0
3427.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,1,0,0,0,55.00,0.00,55.00,40.00,54.00,23.00,70.00,27.00,21.00,0.00,19.00,87.00,8.00,20.00,0.00,44.00,47.00,53.00,68.00,37.00,0.00,49.00,6.00,0.00,15.00,0.00
3428,nonDRNA,RNA,nonDRNA,1.46E-07,0.851471456,1.36E-10,0.148528398,1,0,0,0,28,0,0,6,10,6,5,3,3,0,9,9,3,5,0,8,2,3,6,9,0,13,0,0,4,0
3429,nonDRNA,DNA,nonDRNA,6.71E-08,0.156500934,9.53E-11,0.843498999,1,0,0,0,33,0,3,9,17,8,22,13,15,0,11,30,10,5,0,11,15,16,17,17,0,17,2,0,3,0
3430,nonDRNA,DNA,nonDRNA,7.39E-08,0.173184401,9.81E-11,0.826815525,1,0,0,0,11,0,7,7,19,14,22,5,4,0,8,28,5,8,0,11,13,19,20,17,0,26,5,0,9,0
3431,nonDRNA,DNA,nonDRNA,1.54E-07,0.074384559,4.93E-10,0.925615286,1,0,0,0,29,0,4,19,29,9,29,15,10,0,13,32,4,5,0,17,18,22,29,26,0,23,12,0,13,0
3432,nonDRNA,RNA,nonDRNA,1.92E-07,0.983138979,1.48E-10,0.016860829,1,0,0,0,1,0,4,1,15,0,4,1,3,0,0,6,1,0,0,4,1,0,2,1,0,8,1,0,0,0
3433,nonDRNA,RNA,nonDRNA,1.26E-07,0.701564085,1.19E-10,0.298435788,1,0,0,0,13,0,1,13,7,5,15,3,9,0,12,14,3,6,0,5,9,12,9,6,0,7,4,0,5,0
3434,nonDRNA,DNA,nonDRNA,1.63E-07,0.046133064,1.64E-09,0.953866771,1,0,0,0,23,0,0,14,16,22,28,16,25,0,39,47,8,17,0,14,18,18,31,17,0,25,1,0,24,0
3435,nonDRNA,DNA,nonDRNA,7.21E-08,0.028130369,3.71E-10,0.971869559,1,0,0,0,26,0,6,27,20,18,22,9,29,0,25,35,6,22,0,15,20,13,28,27,0,26,5,0,18,0
3436,nonDRNA,RNA,nonDRNA,1.11E-07,0.531132248,1.42E-10,0.468867641,1,0,0,0,5,0,1,9,16,9,13,3,9,0,17,19,7,10,0,12,7,8,12,7,0,14,3,0,6,0
3437,nonDRNA,DNA,nonDRNA,1.13E-07,0.036712781,4.38E-10,0.963287105,1,0,0,0,45,0,6,18,14,17,44,9,26,0,11,25,5,23,0,23,18,15,36,22,0,25,7,0,8,0
3438,nonDRNA,RNA,nonDRNA,1.56E-07,0.830060044,1.73E-10,0.1699398,1,0,0,0,11,0,3,11,8,5,27,8,7,0,9,9,2,9,0,4,3,3,9,7,0,15,0,0,1,0
3439,nonDRNA,DNA,nonDRNA,5.94E-08,0.139921399,8.94E-11,0.860078541,1,0,0,0,31,0,0,15,17,15,22,2,11,0,14,34,9,5,0,12,12,21,23,13,0,20,2,0,9,0
3440,nonDRNA,RNA,nonDRNA,1.36E-07,0.745988173,1.42E-10,0.254011691,1,0,0,0,3,0,0,8,17,6,9,3,11,0,10,17,2,5,0,5,6,5,14,12,0,14,1,0,7,0
3441,nonDRNA,DNA,nonDRNA,8.51E-08,0.232692963,1.48E-10,0.767306952,1,0,0,0,22,0,1,15,25,18,18,2,15,0,19,20,8,9,0,12,5,16,8,11,0,25,1,0,12,0
3442,nonDRNA,DNA,nonDRNA,6.91E-08,0.154571492,1.09E-10,0.845428439,1,0,0,0,24,0,5,13,23,10,27,1,17,0,27,24,11,3,0,13,11,7,12,19,0,21,3,0,10,0
3443,nonDRNA,DNA,nonDRNA,7.41E-08,0.152974754,1.53E-10,0.847025172,1,0,0,0,15,0,5,16,25,10,15,7,16,0,28,18,7,11,0,13,11,11,10,16,0,19,8,0,10,0
3444,nonDRNA,RNA,nonDRNA,1.54E-07,0.797321424,1.54E-10,0.202678422,1,0,0,0,20,0,1,9,4,7,11,11,2,0,11,17,2,2,0,6,1,3,14,7,0,10,1,0,3,0
3445,nonDRNA,RNA,nonDRNA,1.48E-07,0.784055419,1.59E-10,0.215944433,0.602117815,0.397882185,0,0,13,0,1,7,7,8,9,11,3,0,12,17,2,4,0,7,1,3,11,12,0,10,1,0,3,0
3446,nonDRNA,DNA,nonDRNA,3.03E-05,0.013021211,6.96E-06,0.986941497,1,0,0,0,70,0,15,39,31,13,59,12,21,0,9,44,10,11,0,73,15,61,39,33,0,30,6,0,7,0
3447,nonDRNA,DNA,nonDRNA,9.33E-08,0.245525689,1.25E-10,0.754474218,1,0,0,0,23,0,0,13,31,4,16,5,21,0,17,27,8,10,0,11,0,25,7,11,0,20,3,0,9,0
3448,nonDRNA,DNA,nonDRNA,6.57E-08,0.047238786,2.61E-10,0.952761148,1,0,0,0,32,0,3,23,31,15,25,8,31,0,31,44,8,11,0,17,5,27,13,17,0,22,2,0,16,0
3449,nonDRNA,DNA,nonDRNA,2.29E-07,0.06486514,8.86E-10,0.93513463,1,0,0,0,53,0,2,29,26,12,44,8,17,0,12,42,8,8,0,25,9,35,13,14,0,38,3,0,13,0
3450,nonDRNA,DNA,nonDRNA,9.23E-08,0.317688565,1.76E-10,0.682311342,1,0,0,0,14,0,2,17,25,10,15,3,18,0,24,22,7,17,0,3,4,11,6,12,0,15,1,0,9,0
3451,nonDRNA,RNA,nonDRNA,1.50E-07,0.915808174,1.51E-10,0.084191676,1,0,0,0,21,0,2,7,3,5,12,6,4,0,9,8,1,6,0,2,3,2,6,2,0,6,1,0,4,0
3452,nonDRNA,DNA,nonDRNA,0.025529476,0.194266063,0.310499926,0.469704535,1,0,0,0,22,0,5,33,101,40,35,11,59,0,68,81,9,33,0,18,16,57,41,38,0,58,6,0,24,0
3453,nonDRNA,DNA,nonDRNA,1.84E-06,0.016283928,1.06E-07,0.98371413,1,0,0,0,51,0,3,28,38,25,25,8,40,0,23,62,13,31,0,42,36,31,22,30,0,32,4,0,25,0
3454,nonDRNA,DNA,nonDRNA,0.008073039,0.099053623,0.024064142,0.868809196,0.802880526,0,0,0.197119474,76,0,5,44,61,33,38,21,35,0,60,69,10,22,0,45,34,37,44,30,0,70,10,0,25,0
3455,nonDRNA,DNA,nonDRNA,2.99E-06,0.06477393,6.98E-08,0.935223006,1,0,0,0,53,0,3,34,32,21,47,12,25,0,20,41,8,27,0,13,20,18,27,30,0,30,14,0,24,0
3456.00,nonDRNA,DRNA,nonDRNA,0.00,0.00,1.00,0.00,0.811127396,0,0,0.188872604,65.00,0.00,19.00,44.00,54.00,35.00,100.00,28.00,48.00,0.00,51.00,79.00,21.00,39.00,0.00,69.00,71.00,79.00,76.00,49.00,0.00,76.00,7.00,0.00,38.00,0.00
3457,nonDRNA,RNA,nonDRNA,1.08E-07,0.528847302,1.29E-10,0.47115259,0.812895052,0.187104948,0,0,6,0,1,8,17,9,12,2,11,0,16,18,7,8,0,13,8,11,11,6,0,14,3,0,6,0
3458,nonDRNA,DNA,nonDRNA,9.75E-08,0.108121773,1.40E-10,0.891878129,1,0,0,0,25,0,4,18,15,14,38,10,4,0,2,22,7,1,0,30,10,21,24,16,0,29,7,0,5,0
3459,nonDRNA,DNA,nonDRNA,6.65E-08,0.067749374,1.37E-10,0.93225056,1,0,0,0,35,0,5,19,16,6,26,12,22,0,15,26,9,18,0,12,10,16,23,21,0,31,6,0,9,0
3460,nonDRNA,RNA,nonDRNA,1.05E-07,0.528919667,1.19E-10,0.471080228,0.8010142,0,0,0.1989858,13,0,2,12,17,12,14,2,14,0,13,17,3,8,0,12,2,15,14,4,0,23,1,0,7,0
3461,nonDRNA,DNA,nonDRNA,0.001239111,0.016576108,0.001000467,0.981184314,0.598789476,0.200824799,0,0.200385726,70,0,10,14,15,4,46,56,14,0,11,28,13,19,0,46,23,26,76,38,0,25,2,0,13,0
3462,nonDRNA,DNA,nonDRNA,2.59E-05,0.026919653,8.50E-06,0.973045976,1,0,0,0,28,0,6,39,51,15,42,22,62,0,40,54,17,26,0,31,16,48,33,35,0,40,5,0,26,0
3463,nonDRNA,DNA,DNA,1.24E-07,0.365556856,1.75E-10,0.634443019,0.395795592,0,0,0.604204408,17,0,0,8,17,9,16,9,12,0,16,21,6,13,0,12,7,7,4,6,0,17,6,0,11,0
3464,nonDRNA,DNA,nonDRNA,1.80E-07,0.350007659,2.87E-10,0.64999216,1,0,0,0,11,0,0,8,5,7,29,3,6,0,8,9,6,19,0,11,10,8,28,20,0,22,6,0,16,0
